ProductCode,ProductName,ProductQuantity,ProductBin,ProductStatus,DateCreated,DateUpdated
DHL/001,Decorativehut Metal and Crystal Hanging Round Chandelier for Living Room,9,A200,Active,Sun Mar 05 2023 04:28:24 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:56:08 GMT+0530 (India Standard Time)
DHL/006,Decorativehut Crystal Chandelier for Living Room,31,A200,Active,Sun Mar 05 2023 04:31:16 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:55:53 GMT+0530 (India Standard Time)
DHL/008,Decorativehut Premium Crystal Chandelier for Home Decor,5,A200,InActive,Sun Mar 05 2023 04:33:03 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:55:42 GMT+0530 (India Standard Time)
DHL/002,Decorativehut Vintage Wooden Wall Mounted Lamp,4911,A200,Active,Wed Mar 08 2023 12:46:35 GMT+0530 (India Standard Time),Thu Mar 30 2023 09:05:16 GMT+0530 (India Standard Time)
DHL/003,Decorativehut Rope Hanging Pendant Light,1,A200,Active,Wed Mar 08 2023 11:03:53 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:55:30 GMT+0530 (India Standard Time)
DHL/004,Decorativehut Round Rings Design Vintage Pendant Light for Ceiling,1,A200,Active,Wed Mar 08 2023 11:05:16 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:55:19 GMT+0530 (India Standard Time)
DHL/005,Decorativehut Round Cage Design Pendant Light for Ceiling,1,A200,Active,Wed Mar 08 2023 11:05:54 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:55:07 GMT+0530 (India Standard Time)
DHB/001,Decorativehut Brass Chaturbhuj Ganesha Idol for Home Temple…,1,A200,Active,Wed Mar 08 2023 11:06:43 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:54:55 GMT+0530 (India Standard Time)
DHB/002,"Decorativehut Brass Murli Krishna Idol for Home Temple, Standard (Golden)…",1,A200,Active,Wed Mar 08 2023 11:07:10 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:54:43 GMT+0530 (India Standard Time)
DHB/003,Decorativehut Brass Hanging Bell with Chain and Hook,2448,A300,InActive,Wed Mar 08 2023 11:07:43 GMT+0530 (India Standard Time),Mon Mar 20 2023 10:08:51 GMT+0530 (India Standard Time)
DHB/004,"Decorativehut Brass Hand Bell for Home Temple, Pooja Ghanti, (Pack of 1)…",2,A200,Active,Wed Mar 08 2023 11:08:09 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:54:31 GMT+0530 (India Standard Time)
DHB/005q,Decorativehut Brass Elephant face Wall Hanging Bell Pair,8,A200,Active,Wed Mar 08 2023 11:08:43 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:54:18 GMT+0530 (India Standard Time)
DHB/006,Decorativehut Brass Ganesha Wall Hanging Diya with Bells for Home Decor,2,A200,Active,Wed Mar 08 2023 11:09:18 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:54:05 GMT+0530 (India Standard Time)
DHB/008,Decorativehut Brass Parrot on Tree Design Door Handle Pair,2,A200,Active,Wed Mar 08 2023 11:10:06 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:53:45 GMT+0530 (India Standard Time)
DHB/010,Decorativehut Brass Laxmi Ganesha Shubh Labh on Leaf Wall Hanging,6,A200,Active,Wed Mar 08 2023 11:10:47 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:53:31 GMT+0530 (India Standard Time)
DHB/009,Decorativehut Brass Laxmi Ganesha on Leaf Wall Hanging,2,A200,Active,Wed Mar 08 2023 11:11:25 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:53:17 GMT+0530 (India Standard Time)
DHB/011,"Decorativehut Brass Premium Cheetah, Brass Designer Showpiece",0,A200,InActive,Wed Mar 08 2023 11:12:07 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:53:05 GMT+0530 (India Standard Time)
DHB/013,Decorativehut Brass Designer Hanging Bell with chain for Home Temple,0,A200,InActive,Wed Mar 08 2023 11:12:42 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:52:51 GMT+0530 (India Standard Time)
DHB/015,Decorativehut Brass Parrot Design Wall Hanging Diya Hanger,0,A200,InActive,Wed Mar 08 2023 11:13:13 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:52:30 GMT+0530 (India Standard Time)
DHB/016,Decorativehut Brass Swastik Ganesha Wall Hanging,1,A200,Active,Wed Mar 08 2023 11:13:44 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:52:17 GMT+0530 (India Standard Time)
DHB/0012,Decorativehut Brass Tuskar Design Ganesha Door Handle Pair,0,A200,InActive,Wed Mar 08 2023 11:14:14 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:52:03 GMT+0530 (India Standard Time)
DHB/00014,Decorativehut Brass Flower on Ribbon Knot Design Premium Door Handle Pair,1,A200,Active,Wed Mar 08 2023 11:14:46 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:51:50 GMT+0530 (India Standard Time)
DHB/0007,Decorativehut Brass Leaf Design Door Handle,5,A200,Active,Wed Mar 08 2023 11:15:17 GMT+0530 (India Standard Time),Tue Mar 21 2023 09:51:15 GMT+0530 (India Standard Time)
001,Chandelier,8,A200,InActive,Sun Mar 19 2023 02:58:35 GMT+0530 (India Standard Time),Sun Mar 19 2023 03:06:25 GMT+0530 (India Standard Time)
